ID,model,engine_power,age_in_days,km,previous_owners,lat,lon,price,
447,lounge,51,425,16562,1,45.51256943,10.32901001,10950,
448,lounge,51,790,38974,1,43.78237152,11.25498962,9450,
449,lounge,51,3562,82000,1,45.50054932,9.326600075,5900,
450,lounge,51,2313,56600,3,45.13167191,8.449170113,7950,
451,lounge,51,701,22794,3,41.10787964,14.20880985,9600,
452,lounge,51,578,32057,1,39.21453857,9.110489845,9600,
453,lounge,51,790,18156,1,40.67348099,14.77124977,10500,
454,pop,51,4018,95156,1,45.0007019,7.68227005,5900,
455,lounge,51,4018,113000,1,40.91917038,14.15332031,4400,
456,lounge,51,731,29830,1,45.5712204,9.159139633,9980,
457,lounge,51,456,14800,1,44.06312943,12.44701004,10900,
458,lounge,51,701,17000,1,45.60689163,9.306619644,9900,
459,lounge,51,2101,82000,1,45.14241028,10.01521015,6700,
460,lounge,51,397,15628,1,45.51256943,10.32901001,10850,
461,lounge,51,790,39865,1,43.78237152,11.25498962,9450,
462,pop,51,2313,106500,1,45.50329971,11.41784,6800,
463,lounge,51,762,15800,1,45.64250183,12.16362,9800,
464,sport,51,3957,38000,1,45.58409119,9.270959854,5490,
465,lounge,51,762,12161,1,37.51858139,15.00710964,10800,
466,pop,51,2282,69159,1,41.90322113,12.49565029,9200,
467,pop,51,2070,57000,1,45.46796036,9.181779861,7900,
468,lounge,51,731,36303,1,45.5712204,9.159139633,9980,
469,lounge,51,456,11700,1,44.06312943,12.44701004,10900,
470,lounge,51,578,21500,1,43.96585083,12.60208035,9500,
471,lounge,51,731,25900,1,45.06967926,7.704919815,8850,
472,lounge,51,425,17375,1,45.51256943,10.32901001,10950,
473,lounge,51,790,46620,1,43.78237152,11.25498962,9450,
474,lounge,51,4200,97000,1,45.40943909,11.87170982,4700,
475,pop,51,1005,60879,1,45.58409119,9.270959854,8350,
476,pop,51,640,30000,1,45.06967926,7.704919815,8900,
477,lounge,51,425,18276,1,38.31806946,16.39489937,11000,
478,lounge,51,3500,38431,1,41.90322113,12.49565029,7500,
479,lounge,51,3074,103000,1,45.46796036,9.181779861,6900,
480,pop,51,1827,47000,2,40.40106964,15.59286976,6990,
481,lounge,51,456,17000,2,44.06312943,12.44701004,10900,
482,pop,51,3197,120000,2,40.17470169,18.16762924,7900,
483,sport,51,3835,129892,2,45.06967926,7.704919815,4490,
484,lounge,51,397,18877,2,45.51256943,10.32901001,10850,
485,lounge,51,790,41572,2,43.78237152,11.25498962,9450,
486,pop,51,882,24626,1,45.54444122,10.32971954,8990,
487,lounge,51,1492,50400,1,43.06753159,12.55154991,9500,
488,lounge,51,425,20636,1,45.35776901,9.612210274,10650,
489,lounge,51,3258,100000,2,40.82139969,14.12238026,6490,
490,lounge,51,2101,18205,2,41.90322113,12.49565029,9700,
491,pop,51,1797,39000,1,40.6095314,14.98093033,7999,
492,pop,51,670,9000,1,44.98873901,9.010499954,11090,
493,lounge,51,456,29850,1,44.06312943,12.44701004,10900,
494,lounge,51,4049,104300,1,44.90724182,8.611559868,6800,
495,lounge,51,456,13375,1,41.90322113,12.49565029,10800,
496,lounge,51,397,15003,1,45.51256943,10.32901001,10850,
497,pop,51,790,38718,1,43.78237152,11.25498962,10450,
498,lounge,51,397,17488,1,40.96757126,14.20794964,10200,
499,lounge,51,425,24281,1,45.43811035,12.31814957,10800,
500,lounge,51,701,25076,1,45.51256943,10.32901001,10450,
501,lounge,51,2527,25191,1,41.90322113,12.49565029,8800,
502,lounge,51,1155,38197,1,41.90322113,12.49565029,8899,
503,pop,51,1461,87066,1,44.50883865,11.46907997,7450,
504,lounge,51,456,21200,1,44.06312943,12.44701004,10900,
505,lounge,51,3378,25800,1,41.46273041,12.90528011,7400,
506,lounge,51,456,11186,1,41.90322113,12.49565029,10800,
507,lounge,51,701,45550,1,41.77008057,12.22710991,9590,
508,lounge,51,670,21971,1,43.78237152,11.25498962,9450,
509,lounge,51,790,42000,1,45.06967926,7.704919815,8900,
510,lounge,51,762,20000,1,45.21540833,7.633669853,9800,
511,lounge,51,487,56779,1,45.40943909,11.87170982,10500,
512,pop,51,3500,80320,1,41.90322113,12.49565029,7000,
513,lounge,51,3013,143000,1,45.73326111,8.453169823,6500,
514,lounge,51,762,19600,1,45.53868866,9.928310394,9800,
515,pop,51,366,15626,1,45.02238846,7.586019993,8990,
516,pop,51,2251,90000,2,45.78366852,8.967240334,6400,
517,lounge,51,456,11569,1,41.90322113,12.49565029,10800,
518,pop,51,731,19675,1,45.35438919,11.86925983,9000,
519,lounge,51,1705,65000,1,45.46350098,9.913140297,6900,
520,pop,51,1858,33000,1,45.61695862,9.422280312,9800,
521,lounge,51,1492,64600,1,45.49222946,12.1016798,8300,
522,lounge,51,701,27000,1,45.60689163,9.306619644,9700,
523,lounge,51,425,18443,1,43.23400116,12.78215027,10800,
524,lounge,51,425,3600,1,40.69556046,14.48085022,9490,
525,lounge,51,3562,80646,1,41.90322113,12.49565029,6800,
526,lounge,51,2616,45000,1,45.53725052,9.371049881,7950,
527,lounge,51,2616,56400,1,45.7832489,12.48812008,6900,
528,lounge,51,425,13111,1,45.02238846,7.586019993,9990,
529,sport,51,517,43000,1,45.53659058,10.23204041,10800,
530,lounge,51,2892,104000,1,45.70059967,9.088769913,6800,
531,lounge,51,762,20000,1,43.95793152,11.38619041,9400,
532,lounge,51,670,19956,1,45.43811035,12.31814957,9800,
533,pop,51,1127,80858,1,41.10787964,14.20880985,7900,
534,lounge,51,2192,105000,1,45.52046967,10.8868103,8500,
535,pop,51,2922,31350,1,43.78451157,10.92465973,6500,
536,sport,51,609,35000,1,45.65016174,9.205189705,10500,
537,lounge,51,943,25006,1,45.60054016,7.796450138,10900,
538,lounge,62,3013,101417,1,41.90322113,12.49565029,7900,
539,lounge,51,4535,124000,1,45.06967926,7.704919815,4450,
540,lounge,51,1096,63500,1,46.79201889,11.98031998,9900,
541,lounge,51,2131,44659,1,38.12207031,13.36112022,8900,
542,pop,51,4353,104000,1,45.63330841,9.587340355,4300,
543,lounge,51,1431,68000,1,45.42092133,8.940649986,8800,
544,pop,51,1278,27970,1,45.31705856,8.858699799,9400,
545,lounge,51,3166,72185,1,45.76396942,9.106980324,6500,
546,lounge,51,790,24000,1,45.43811035,12.31814957,9800,
547,lounge,51,366,15951,1,45.06967926,7.704919815,9900,
548,lounge,51,1797,44000,1,45.52672958,10.83778954,10900,
549,lounge,51,3865,72000,1,45.67340088,9.926890373,7800,
550,lounge,51,3712,149000,1,45.6563797,9.50508976,5490,
551,lounge,51,3319,51034,1,41.90322113,12.49565029,8300,
552,lounge,51,790,16000,1,40.85470963,14.37921047,10500,
553,lounge,74,4658,135000,1,40.83581161,14.50440979,4490,
554,lounge,51,578,12982,1,45.46796036,9.181779861,10800,
555,lounge,51,852,38020,1,45.46796036,9.181779861,9490,
556,pop,51,366,19000,1,45.49541855,12.15649033,10490,
557,sport,51,1886,107500,1,45.53371811,9.231049538,8500,
558,lounge,51,790,19133,1,45.74602127,9.049969673,9850,
559,lounge,51,731,19371,1,45.43811035,12.31814957,9800,
560,pop,51,913,20000,1,40.92850113,14.20366955,8499,
561,lounge,62,2251,67000,1,45.46796036,9.181779861,7400,
562,lounge,51,790,31657,1,41.90322113,12.49565029,10200,
563,lounge,51,1155,55000,1,40.65832138,17.70716095,8400,
564,lounge,51,3623,109000,1,45.6563797,9.50508976,5990,
565,lounge,51,2374,86500,1,44.38822174,7.54832983,9300,
566,lounge,51,762,17800,1,40.85470963,14.37921047,10500,
567,lounge,51,4443,77918,1,45.06967926,7.704919815,5500,
568,lounge,51,3623,87166,1,44.39997101,8.274499893,5600,
569,pop,51,670,17000,1,45.36412811,11.9360199,10499,
570,pop,51,366,19000,1,45.49541855,12.15649033,8990,
571,pop,51,1066,65000,1,45.55258942,10.77200985,8300,
572,lounge,51,2223,58000,1,40.88721848,14.71391964,6500,
573,pop,51,366,11236,1,45.43811035,12.31814957,9800,
574,pop,51,2343,97000,1,40.92850113,14.20366955,5999,
575,lounge,51,640,39038,1,41.99634933,12.72344017,9800,
576,lounge,51,366,19112,1,41.90322113,12.49565029,10900,
577,lounge,51,2192,78000,1,45.59859848,9.164039612,7990,
578,pop,51,1127,36495,1,41.90322113,12.49565029,9480,
579,pop,51,2861,80000,1,40.85470963,14.37921047,7500,
580,lounge,51,2678,122000,1,41.11426163,16.48571014,5850,
581,sport,51,3258,120000,1,46.03120041,9.208310127,5300,
582,lounge,51,456,23000,1,40.8401413,14.25226021,9499,
583,lounge,51,1066,59961,1,41.80298996,12.59893036,7480,
584,pop,51,2374,73000,1,45.43811035,12.31814957,8900,
585,lounge,51,397,11997,1,43.78237152,11.25498962,9999,
586,lounge,51,640,40438,1,41.99634933,12.72344017,9800,
587,lounge,51,2982,36000,1,44.90724182,8.611559868,7500,
588,lounge,74,4658,118000,1,37.72546005,15.1842804,5500,
589,lounge,73,4566,120300,1,40.50030136,17.38249969,4900,
590,sport,51,3258,98660,1,40.74824142,14.52834988,6290,
591,lounge,51,731,33665,1,41.90322113,12.49565029,9980,
592,pop,51,1186,19000,1,41.11426163,16.48571014,8450,
593,lounge,51,1858,55476,1,43.87985992,10.78281021,8990,
594,lounge,51,425,13900,1,41.90322113,12.49565029,9970,
595,lounge,51,1066,59961,1,41.90322113,12.49565029,7480,
596,pop,51,2678,75000,1,45.43811035,12.31814957,6800,
597,pop,51,3347,85500,1,43.78237152,11.25498962,5699,
598,lounge,51,2739,85366,1,45.69522858,9.669509888,7400,
599,sport,73,4658,119000,1,44.83839035,11.61944008,4299,
600,pop,51,4322,120000,1,40.73484039,14.57341957,4399,
601,lounge,51,3927,117000,1,37.72546005,15.1842804,5500,
602,lounge,51,790,15716,1,45.13325882,7.632730007,10790,
603,pop,51,2039,57039,1,40.74824142,14.52834988,7590,
604,lounge,51,731,36303,1,41.90322113,12.49565029,9980,
605,lounge,51,670,29181,1,44.28387833,11.88813972,9790,
606,lounge,51,1492,46600,1,45.71659088,9.708080292,10600,
607,lounge,51,731,19800,1,40.80760956,14.50251007,9899,
608,lounge,51,425,17900,1,41.90322113,12.49565029,9970,
609,lounge,51,3227,70751,1,41.90322113,12.49565029,5900,
610,lounge,51,397,20450,1,45.43811035,12.31814957,10800,
611,pop,51,517,11000,1,40.92314148,14.3100996,10500,
612,pop,51,2313,75000,1,45.62813187,9.045459747,7400,
613,pop,51,1431,38800,1,44.90724182,8.611559868,7800,
614,lounge,51,1917,54250,1,41.63029099,15.92329025,6900,
615,pop,51,701,41000,1,44.75260925,8.155280113,9500,
616,lounge,51,670,28000,1,45.05659866,9.701760292,10200,
617,lounge,51,548,14181,1,40.74824142,14.52834988,9840,
618,lounge,51,701,14000,1,44.98873901,9.010499954,9790,
619,lounge,51,821,33224,1,45.59859848,9.164039612,9890,
620,pop,77,2435,28000,1,45.95497131,12.8429203,7999,
621,lounge,51,731,15150,1,45.6563797,9.50508976,10300,
622,lounge,51,2527,113396,1,45.63243103,8.888850212,6800,
623,lounge,51,3227,46000,1,41.99634933,12.72344017,6300,
624,lounge,51,3592,104000,1,45.05659866,9.701760292,6500,
625,lounge,51,4414,109381,1,43.81702042,10.68284988,5800,
626,lounge,51,3347,148000,1,41.90322113,12.49565029,5400,
627,lounge,62,3074,61000,1,45.51815033,10.35066986,8450,
628,pop,51,2343,39900,1,45.51256943,10.32901001,7900,
629,lounge,51,762,17000,1,45.05659866,9.701760292,9900,
630,lounge,62,3347,70340,1,40.74824142,14.52834988,6990,
631,pop,62,790,44000,1,41.77008057,12.22710991,8800,
632,lounge,51,609,21000,1,44.71540833,11.30830002,10900,
633,lounge,51,821,25922,1,45.59859848,9.164039612,9890,
634,pop,51,821,6700,1,42.45336914,14.14037991,8900,
635,lounge,51,701,20968,1,39.21453857,9.110489845,10500,
636,lounge,51,3013,80000,1,41.90322113,12.49565029,6500,
637,sport,51,4353,119000,1,45.04724121,9.128809929,5200,
638,pop,51,2374,54198,1,45.31200027,9.497010231,7800,
639,lounge,51,397,21276,1,45.35776901,9.612210274,10850,
640,lounge,51,4535,41500,1,45.06967926,7.704919815,4790,
641,pop,51,4322,76000,1,45.85166168,9.391869545,5500,
642,pop,62,1492,79000,1,43.89894867,11.00205994,8000,
643,lounge,62,2982,126003,1,45.06967926,7.704919815,5950,
644,lounge,51,1492,22404,1,40.74824142,14.52834988,8990,
645,lounge,51,852,53742,1,44.28387833,11.88813972,9290,
646,lounge,51,609,21000,1,44.71540833,11.30830002,10900,
647,lounge,51,821,33725,1,45.59859848,9.164039612,9890,
648,pop,51,670,22000,1,45.05659866,9.701760292,10490,
649,lounge,51,1521,28760,1,45.69115829,9.478070259,10300,
650,pop,51,4322,135000,1,41.90322113,12.49565029,4800,
651,sport,51,3684,137344,1,38.11273956,15.65174961,5500,
652,lounge,51,425,21248,1,41.90322113,12.49565029,10500,
653,lounge,51,366,20451,1,45.35776901,9.612210274,10850,
654,lounge,51,1096,28400,1,44.13837051,12.23882008,9900,
655,lounge,51,3227,95554,1,45.06967926,7.704919815,5900,
656,sport,73,4292,166716,1,43.55290985,10.31997967,4790,
657,lounge,51,762,39000,1,45.05659866,9.701760292,10200,
658,pop,51,4139,35151,1,40.8401413,14.25226021,6699,
659,lounge,51,670,37020,1,41.10787964,14.20880985,10900,
660,lounge,51,609,21000,1,44.71540833,11.30830002,10900,
661,lounge,51,821,30112,1,45.59859848,9.164039612,9890,
662,pop,51,731,25000,1,45.05659866,9.701760292,10490,
663,lounge,51,1492,23016,1,45.13167191,8.449170113,10000,
664,lounge,51,882,56779,1,41.90322113,12.49565029,10000,
665,lounge,51,2101,29897,1,40.92649078,14.4764204,8200,
666,lounge,51,425,15784,1,41.90322113,12.49565029,10800,
667,lounge,51,366,14366,1,45.35776901,9.612210274,10850,
668,pop,51,2769,72784,1,40.79727173,14.54360962,9890,
669,lounge,51,2647,50000,1,43.78237152,11.25498962,6900,
670,lounge,51,913,29000,1,45.77859116,8.946249962,8500,
671,sport,73,4414,104269,2,40.40106964,15.59286976,4999,
672,lounge,62,2892,99518,2,45.46796036,9.181779861,7990,
673,lounge,51,2861,23500,2,45.40943909,11.87170982,8200,
674,lounge,51,762,21000,1,44.71540833,11.30830002,10900,
675,pop,51,670,17000,1,45.64250183,12.16362,10499,
676,lounge,51,487,17800,1,45.35152817,10.84409046,11100,
677,lounge,51,762,18609,1,41.57223892,13.33368969,10250,
678,pop,51,701,39700,1,41.90322113,12.49565029,8800,
679,pop,51,3653,85000,1,45.60697174,9.629229546,4990,
680,lounge,51,425,15350,1,41.90322113,12.49565029,10800,
681,lounge,51,397,19296,1,45.35776901,9.612210274,10950,
682,lounge,51,762,28200,1,45.33407974,11.37687016,10250,
683,lounge,51,3684,132000,1,44.54637146,7.54008007,5900,
684,pop,51,578,17000,1,41.7690506,12.66281033,10500,
685,pop,51,943,35481,1,45.58409119,9.270959854,8650,
686,lounge,51,762,20900,1,44.90443039,8.199939728,10550,
687,lounge,51,3774,149000,1,45.95497131,12.8429203,5499,
688,lounge,51,731,19244,1,45.59614944,8.915809631,10200,
689,pop,51,670,17000,1,45.43811035,12.31814957,10499,
690,pop,51,701,25800,1,41.90322113,12.49565029,8900,
691,lounge,51,670,19746,1,41.57223892,13.33368969,10950,
692,lounge,51,456,12872,1,41.90322113,12.49565029,10800,
693,pop,51,1797,23400,1,45.66292953,11.60243034,7800,
694,lounge,51,425,15817,1,41.90322113,12.49565029,10800,
695,lounge,51,397,18575,1,45.35776901,9.612210274,10950,
696,lounge,51,3197,51083,1,45.5712204,9.159139633,5880,
697,lounge,51,2162,56900,1,45.88607025,13.29117012,7200,
698,lounge,74,4566,78000,1,45.46796036,9.181779861,5800,
699,pop,51,3988,103000,1,45.53266144,9.038920403,5700,
700,pop,51,2313,106905,1,45.32001114,10.57859039,6990,
701,pop,51,3592,149000,1,45.44424057,8.987319946,4299,
702,lounge,51,701,27100,1,41.90322113,12.49565029,10300,
703,lounge,51,425,21459,1,41.57223892,13.33368969,10950,
704,lounge,51,456,10320,1,41.90322113,12.49565029,10800,
705,lounge,51,2070,85134,1,45.06967926,7.704919815,6900,
706,lounge,51,397,16087,1,41.90322113,12.49565029,10800,
707,lounge,51,397,18740,1,45.35776901,9.612210274,10950,
708,lounge,51,3197,51083,1,45.5712204,9.159139633,5880,
709,pop,51,790,25000,1,42.46390915,14.21354008,9900,
710,lounge,51,3439,124000,1,45.6563797,9.50508976,5990,
711,lounge,51,2496,83000,1,41.11426163,16.48571014,6900,
712,lounge,51,3684,97000,1,45.95497131,12.8429203,6500,
713,lounge,51,762,22020,1,46.07004929,11.11925983,9900,
714,lounge,51,456,17253,1,45.77669144,9.065250397,9890,
715,pop,51,2039,82990,1,45.46796036,9.181779861,7990,
716,pop,51,366,16380,1,40.92649078,14.4764204,9950,
717,lounge,51,762,17484,1,45.5200386,9.757160187,9900,
718,lounge,51,1644,120000,1,45.21854019,12.27838993,6499,
719,lounge,51,2404,100000,1,45.73284912,11.78989029,6700,
720,lounge,51,425,14403,1,41.90322113,12.49565029,10800,
721,lounge,51,425,23638,1,45.35776901,9.612210274,10650,
722,lounge,51,790,28070,1,41.90322113,12.49565029,8650,
723,lounge,51,1339,39000,1,45.6095314,10.20856953,10450,
724,pop,51,4139,98405,1,40.91917038,14.15332031,4490,
725,pop,51,913,7500,1,39.21453857,9.110489845,10500,
726,lounge,51,3500,95000,1,45.98527908,13.19664383,6999,
727,lounge,51,456,21000,1,45.74602127,9.049969673,10900,
728,lounge,51,762,22760,1,40.82139969,14.12238026,9790,
729,lounge,51,2527,136626,1,41.64091873,13.35050011,7000,
730,lounge,51,609,8377,1,45.61869812,8.947460175,10870,
731,lounge,51,762,12337,1,43.78237152,11.25498962,10700,
732,pop,51,1035,64000,1,46.45465851,11.26266003,8250,
733,lounge,74,4596,121000,1,43.06753159,12.55154991,5500,
734,lounge,74,425,18822,1,41.90322113,12.49565029,10500,
735,pop,51,974,12500,1,39.21453857,9.110489845,10500,
736,sport,51,3684,124490,2,45.53266144,9.038920403,4790,
737,lounge,51,1096,57000,2,45.46796036,9.181779861,7900,
738,lounge,51,4322,83000,2,41.20460129,16.59963989,5600,
739,lounge,51,2223,117000,2,39.21453857,9.110489845,7900,
740,pop,51,1005,15000,2,41.90322113,12.49565029,11000,
741,lounge,51,640,23951,2,44.28387833,11.88813972,9790,
742,pop,51,1066,46000,2,45.00690079,7.541729927,8450,
743,lounge,51,821,17185,1,38.12207031,13.36112022,10500,
744,lounge,51,701,20216,1,44.38822174,7.54832983,10500,
745,pop,51,1858,33000,1,45.60868835,9.269809723,9800,
746,lounge,51,425,11416,1,41.90322113,12.49565029,11000,
747,lounge,51,3074,116000,1,45.4790802,8.819459915,5800,
748,lounge,51,2251,117000,1,40.83581161,14.50440979,6500,
749,pop,51,4474,56779,1,45.07107925,7.464029789,4490,
750,pop,51,790,40000,1,40.74029922,14.66654968,8700,
751,sport,62,3439,86000,1,39.21453857,9.110489845,7500,
752,pop,73,3592,65000,1,40.92850113,14.20366955,6500,
753,pop,51,4077,125000,1,43.75807953,11.18465996,4900,
754,lounge,51,456,17253,1,45.43610001,8.887869835,9890,
755,sport,51,790,30000,1,45.06967926,7.704919815,10690,
756,lounge,51,2922,60600,1,44.50482178,11.34517956,9500,
757,lounge,51,425,17770,1,41.40813828,13.76593971,10790,
758,lounge,51,4018,102841,1,38.22293854,15.38008976,6000,
759,pop,51,487,12811,1,45.77899933,12.99709034,9900,
760,lounge,51,425,7778,1,41.90322113,12.49565029,11000,
761,lounge,51,3774,119000,1,45.4790802,8.819459915,4800,
762,lounge,51,3592,111000,1,44.41038895,8.938980103,5499,
763,pop,51,1066,29176,1,40.73484039,14.57341957,7950,
764,lounge,62,3227,79000,1,40.96617889,17.11647987,8500,
765,lounge,51,3957,117000,1,39.21453857,9.110489845,8500,
766,pop,51,2616,99999,1,45.68421173,12.37557983,7500,
767,pop,51,3197,98000,1,45.43811035,12.31814957,5900,
768,lounge,51,762,25100,1,44.09373856,12.39601994,10900,
769,lounge,51,2588,52000,1,44.55202866,7.725810051,7450,
770,lounge,51,670,33000,1,41.90322113,12.49565029,10470,
771,pop,51,366,21000,1,45.58409119,9.270959854,9900,
772,lounge,51,640,37428,1,41.10787964,14.20880985,9400,
773,pop,51,3957,95200,1,43.78237152,11.25498962,5300,
774,lounge,51,2953,121000,1,41.8230896,12.80220985,7495,
775,lounge,51,4169,100000,1,40.86045837,14.52779961,4300,
776,sport,51,2588,51000,1,45.53659058,10.23204041,7900,
777,lounge,51,762,17000,1,44.55202866,7.725810051,9850,
778,pop,51,1400,25315,1,45.06967926,7.704919815,8200,
779,lounge,62,3074,129000,1,45.07014847,11.78954983,5799,
780,pop,51,1370,91743,1,44.50883865,11.46907997,7450,
781,lounge,51,4414,140000,1,44.09373856,12.39601994,5500,
782,lounge,51,670,40000,1,41.90322113,12.49565029,9970,
783,lounge,51,425,19201,1,40.63722992,15.7992897,10800,
784,pop,51,1766,45000,1,45.43830109,10.99170017,8000,
785,lounge,51,670,32717,1,41.10787964,14.20880985,9400,
786,lounge,51,397,14994,1,45.35776901,9.612210274,10950,
787,lounge,51,2192,86500,1,45.56373978,9.97453022,6800,
788,sport,51,3227,66000,1,41.07221985,14.02285004,5800,
789,lounge,51,762,60000,2,45.32001114,10.57859039,9400,
790,lounge,51,821,19000,2,44.55202866,7.725810051,10050,
791,lounge,51,2251,62061,2,45.06967926,7.704919815,7400,
792,lounge,51,456,19834,1,41.90322113,12.49565029,9100,
793,pop,51,4383,30000,1,45.55812073,9.213609695,6900,
794,lounge,51,1858,64000,1,43.78237152,11.25498962,7700,
795,lounge,51,670,33000,1,41.90322113,12.49565029,10470,
796,lounge,51,790,33232,1,42.94897842,13.87775993,9900,
797,lounge,51,701,20300,1,45.68825912,8.731450081,10700,
798,lounge,51,701,32633,1,41.10787964,14.20880985,8900,
799,lounge,51,3258,49204,1,43.78451157,10.92465973,6900,
800,lounge,51,2831,26000,1,44.69559097,10.64124966,7450,
801,lounge,51,2192,86500,1,45.49134827,10.21743965,6800,
802,lounge,51,731,23000,1,44.13837051,12.23882008,9950,
803,sport,51,3500,60000,2,45.32001114,10.57859039,6900,
804,lounge,51,762,16000,2,44.55202866,7.725810051,9850,
805,pop,51,366,10295,1,41.90322113,12.49565029,10100,
806,lounge,51,456,13238,1,41.90322113,12.49565029,9100,
807,lounge,51,701,28975,1,45.35438919,11.86925983,9700,
808,lounge,51,701,19000,1,40.67237854,14.72821999,9999,
809,pop,51,731,42990,1,44.50883865,11.46907997,9300,
810,lounge,51,425,20066,1,45.72071838,7.321430206,10950,
811,lounge,51,790,18840,1,41.90322113,12.49565029,8900,
812,lounge,51,640,38722,1,41.10787964,14.20880985,8900,
813,sport,62,3044,98000,1,45.70610046,11.80737019,6000,
814,lounge,51,3623,99000,1,44.29430008,9.674440384,5800,
815,pop,51,2009,73000,1,41.72117996,12.67368031,8700,
816,lounge,51,3378,130000,1,45.74349976,11.65355968,6100,
817,lounge,51,852,37657,1,43.20687866,13.28464031,10400,
818,pop,51,4566,86000,1,45.06967926,7.704919815,5450,
819,lounge,51,2527,58247,1,45.06967926,7.704919815,8500,
820,lounge,51,790,34963,1,45.70724869,11.4776001,9700,
821,lounge,51,3988,31487,1,45.32001114,10.57859039,5900,
822,lounge,51,1127,37000,1,40.67237854,14.72821999,10500,
823,lounge,51,2192,69000,1,41.90322113,12.49565029,7500,
824,lounge,51,790,30365,1,41.90322113,12.49565029,8650,
825,lounge,51,640,35983,1,41.10787964,14.20880985,9400,
826,pop,51,2647,62000,1,41.90322113,12.49565029,6500,
827,sport,62,2953,102800,1,45.0007019,7.68227005,6600,
828,lounge,51,790,29220,1,41.90322113,12.49565029,8650,
829,lounge,51,1308,31750,1,43.20687866,13.28464031,9800,
830,pop,51,731,47725,1,44.00579071,12.65631962,10350,
831,lounge,51,1521,27206,1,45.28242111,9.931300163,9950,
832,lounge,51,701,20000,1,45.64250183,12.16362,9800,
833,pop,51,2496,89000,1,40.66714096,16.60445023,8800,
834,lounge,51,790,28191,1,43.52902985,12.16218376,9490,
835,lounge,51,2251,73453,4,45.06312943,7.57679987,7300,
836,pop,51,366,16500,1,45.61186981,8.85474968,10500,
837,pop,51,366,11000,1,45.05659866,9.701760292,9900,
838,lounge,51,609,31801,1,41.10787964,14.20880985,9400,
839,lounge,51,790,47524,1,45.70724869,11.4776001,9900,
840,lounge,51,3258,71000,1,45.50646973,8.815190315,7500,
841,lounge,51,366,13180,1,41.90322113,12.49565029,10100,
842,lounge,51,821,29560,1,41.90322113,12.49565029,10400,
843,pop,62,2282,117000,1,45.50944901,9.088700294,7100,
844,pop,51,1066,64700,1,45.53659058,10.23204041,8800,
845,lounge,51,762,33245,1,41.10787964,14.20880985,10900,
846,lounge,51,425,18641,1,45.70724869,11.4776001,10500,
847,lounge,51,1400,21000,1,41.80298996,12.59893036,9590,
848,lounge,51,487,2790,1,45.76697922,11.73840046,10400,
849,lounge,51,3197,85373,1,45.06312943,7.57679987,5900,
850,lounge,51,640,5591,1,46.01776123,11.90305996,10500,
851,lounge,51,1766,66000,1,41.90322113,12.49565029,8900,
852,lounge,51,701,35098,1,41.10787964,14.20880985,8900,
853,lounge,51,1035,33000,1,41.66950989,12.50222969,9999,
854,lounge,62,3013,73799,1,42.74776077,13.88801956,5500,
855,lounge,51,4292,65000,1,44.58037186,10.73155022,5000,
856,lounge,51,790,29395,1,41.90322113,12.49565029,8650,
857,pop,62,3562,87000,1,44.06312943,12.44701004,3990,
858,lounge,51,821,28000,1,45.64572144,11.78437042,9900,
859,pop,51,1644,41195,1,41.90322113,12.49565029,8500,
860,lounge,51,456,22000,1,45.96057129,8.449370384,10490,
861,pop,51,3409,118000,1,44.09373856,12.39601994,5500,
862,lounge,51,821,26333,1,41.60960007,12.54716969,9800,
863,pop,62,2892,90211,2,45.06312943,7.57679987,6800,
864,lounge,51,640,5591,1,45.40943909,11.87170982,10500,
865,lounge,51,670,35016,1,41.10787964,14.20880985,9400,
866,lounge,51,3623,97000,1,45.46796036,9.181779861,5300,
867,lounge,51,2678,93000,1,45.13882065,9.054120064,5900,
868,sport,51,3347,86000,1,45.56449127,10.11561012,5999,
869,lounge,51,821,29370,1,41.90322113,12.49565029,10400,
870,lounge,51,2131,79000,1,40.85470963,14.37921047,8190,
871,lounge,51,3470,71500,1,41.46273041,12.90528011,6700,
872,sport,73,4292,172000,1,41.90322113,12.49565029,4500,
873,lounge,51,762,41827,1,45.6835289,11.95294952,9500,
874,lounge,51,1886,59800,1,45.7832489,12.48812008,7900,
875,lounge,62,3227,152577,1,40.74824142,14.52834988,6190,
876,lounge,51,640,5591,1,45.92216873,12.36149979,10500,
877,lounge,51,670,32855,1,41.10787964,14.20880985,9400,
878,pop,51,943,55000,1,45.77859116,8.946249962,7500,
879,pop,51,1492,83063,1,44.50883865,11.46907997,7450,
880,pop,51,366,25955,1,45.46796036,9.181779861,10390,
881,lounge,51,1858,42000,2,41.66950989,12.50222969,8400,
882,lounge,51,2496,60000,2,40.85470963,14.37921047,6490,
883,pop,51,790,45012,2,41.10787964,14.20880985,8500,
884,lounge,51,2374,100000,1,40.92850113,14.20366955,5900,
885,lounge,51,762,19785,1,45.35438919,11.86925983,9500,
886,lounge,51,731,26521,1,42.10424042,13.60245895,10500,
887,lounge,51,456,21907,1,43.4397583,13.60725975,10800,
888,lounge,51,2831,41000,1,41.15206146,15.08308983,7900,
889,pop,51,456,23000,1,41.90322113,12.49565029,9970,
890,lounge,51,701,41740,1,41.10787964,14.20880985,9400,
891,pop,51,1066,64500,1,45.56040955,8.059780121,7900,
892,lounge,51,456,13716,1,45.39360046,10.48223972,10900,
893,pop,51,790,32130,1,37.51858139,15.00710964,10900,
